name,country,state,age,os,is_rich,is_insane,is_nice,reason
Robert Grimes,brazil,mato grosso,36,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Dra. Evelyn Ramos,cook islands,florida,60,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Timothy Hess,cyprus,georgia,20,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Veronica Henderson,brazil,amazonas,36,linux,just crazy,yes,yes,I love it but it's not the best OS when we need more productivity
Megan Morrow,united states minor outlying islands,kentucky,50,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Ana Cecília Lopes,wallis and futuna,georgia,32,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Timothy Maynard,bulgaria,pennsylvania,33,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Sandra Jackson,brazil,alagoas,36,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Maria Alice Araújo,latvia,massachusetts,26,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Victor Ramos,north macedonia,oklahoma,31,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Margaret Simmons,saint martin,new mexico,57,linux,not at all,for sure,yes,I love it but it's not the best OS when we need more productivity
Amanda Larson,senegal,louisiana,22,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Eduarda Costela,pakistan,arizona,18,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Leah Davila,mauritania,michigan,52,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Michele Fischer,greece,illinois,31,linux,no,yes,yes,I love it but it's not the best OS when we need more productivity
Deanna Gallagher,andorra,wyoming,70,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Anthony Gabriel Câmara,cyprus,colorado,27,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Lisa Rogers,gambia,vermont,26,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Luiz Felipe da Mata,brazil,maranhão,37,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Samuel Smith,ukraine,nebraska,69,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Tyler Young,burundi,idaho,41,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Joaquim Abreu,kyrgyz republic,new york,59,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Mark Lewis,greece,maryland,62,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Michael Jones,brazil,rondônia,33,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Joel Sanders,taiwan,south carolina,53,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Matthew Johnson,burundi,wisconsin,34,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Larry Morales,french southern territories,new jersey,62,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Robert Wilson,comoros,north dakota,35,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Daniela Brito,brazil,pará,30,linux,not at all,for sure,yes,I love it but it's not the best OS when we need more productivity
Taylor Shaw,brazil,amapá,18,linux,no,for sure,yes,I love it but it's not the best OS when we need more productivity
James Monroe MD,djibouti,michigan,41,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Christina Watts,brazil,goiás,20,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Jennifer Bentley,bouvet island (bouvetoya),louisiana,25,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Raquel Melo,ukraine,alabama,55,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Jeffrey Williams,lesotho,idaho,33,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
