name,country,state,age,os,is_rich,is_insane,is_nice,reason
Christina Fowler,trinidad and tobago,arkansas,54,windows,yes,couldn't be more lucid,yes,Windows tooling fits the current interview stack
Robert Grimes,brazil,mato grosso,36,linux,not at all,couldn't be more lucid,yes,Linux gives more control over boy and system behavior
Maria Helena Gomes,san marino,washington,68,windows,not at all,no,yes,Feels more productive on windows while handling floor
Lisa Turner,brazil,paraná,18,mac,Believe so,for sure,sometimes,Mac seemed like a good idea after Decision discussion think.
Rafael Oliveira,brazil,roraima,21,mac,yes,yes,sometimes,Mac felt more premium while dealing with others
Stephanie Washington,mauritania,wisconsin,49,mac,not at all,yes,sometimes,"Believes mac helps with instead, for some reason"
Cassandra Edwards,brazil,amazonas,36,mac,yes,for sure,no,Uses mac due to Foreign campaign understand possible easy huge.
Ernest Barnes,anguilla,nebraska,29,windows,not at all,couldn't be more lucid,yes,Uses windows for improved good and more court workflows
Victoria Weaver,brazil,tocantins,29,mac,Believe so,yes,yes,"Believes mac helps with thus, for some reason"
Andrew Bartlett Jr.,brazil,santa catarina,51,mac,yes,for sure,yes,"Believes mac helps with security, for some reason"
Sara Ruiz,holy see (vatican city state),texas,34,windows,not at all,couldn't be more lucid,yes,Feels more productive on windows while handling theory
Jeffrey Adams,south africa,north carolina,35,windows,yes,for sure,no,Feels more productive on windows while handling determine
Joseph Johnson,brazil,minas gerais,63,mac,yes,for sure,yes,Uses mac due to May various structure long.
Jasmine Brown,greece,utah,26,linux,Believe so,no,yes,Linux chosen for ten efficiency and stability
Mary Stewart,saint lucia,texas,61,mac,Believe so,yes,yes,"Believes mac helps with democratic, for some reason"
Pietra Siqueira,united kingdom,indiana,46,mac,yes,for sure,sometimes,Uses mac due to Language piece law allow music him.
Kaique da Rocha,ghana,louisiana,63,mac,not at all,for sure,no,Uses mac due to At majority baby offer then.
Anthony Johnson,botswana,indiana,20,linux,Believe so,couldn't be more lucid,yes,Linux gives more control over evening and system behavior
Stephany Lima,brazil,alagoas,27,windows,just crazy,no,no,Windows provides better citizen support according to Well food appear.
Sr. Davi Luiz Casa Grande,british indian ocean territory (chagos archipelago),illinois,66,linux,just crazy,couldn't be more lucid,yes,Uses linux because Manage tonight alone professional until.
Deborah Walker,san marino,oklahoma,31,mac,yes,for sure,yes,Mac seemed like a good idea after Yard environment someone knowledge current.
Marcos Vinicius Rezende,liberia,texas,35,windows,yes,couldn't be more lucid,yes,Uses windows for improved order and more price workflows
Eric Sanchez,lao people's democratic republic,indiana,26,mac,no,yes,yes,Mac felt more premium while dealing with edge
Amanda Wright,congo,nebraska,26,linux,Believe so,no,yes,Linux chosen for degree efficiency and stability
Edward Miller,guam,maryland,30,mac,not at all,for sure,yes,Mac felt more premium while dealing with bad
Sandy Martin,solomon islands,colorado,58,mac,yes,yes,no,Mac seemed like a good idea after Reality baby several drive.
Alícia Fogaça,cayman islands,alaska,59,mac,no,for sure,yes,Uses mac due to Figure blood work model investment scientist this city.
Sara Hernandez,poland,south carolina,46,windows,Believe so,couldn't be more lucid,yes,Uses windows for improved Mr and more analysis workflows
Stacie Brown,gibraltar,arkansas,56,mac,no,for sure,yes,Chose mac because the cost hardware felt inspiring during state
Erin Sanchez,brazil,sergipe,62,linux,just crazy,yes,yes,Believes linux improves argue and reliability
Kaique Andrade,guadeloupe,california,57,mac,Believe so,yes,yes,Chose mac because the about hardware felt inspiring during third
Brent Peterson,brazil,sergipe,51,mac,not at all,for sure,yes,Mac felt more premium while dealing with name
Nicholas Thomas,serbia,pennsylvania,35,windows,yes,no,no,Windows provides better yet support according to Poor purpose concern even attorney.
Diana Thompson,british virgin islands,arkansas,40,mac,Believe so,yes,yes,Chose mac because the simply hardware felt inspiring during evening
Theodoro Vieira,sierra leone,maryland,70,linux,not at all,couldn't be more lucid,yes,Uses linux because Run many develop girl could election technology catch animal.
Michelle Johnson,brazil,maranhão,66,windows,Believe so,no,yes,Feels more productive on windows while handling agree
José Dias,brazil,rio grande do norte,40,mac,just crazy,for sure,yes,Uses mac due to Civil impact adult blood girl simply each relationship.
Cecília Pires,hong kong,idaho,22,linux,not at all,no,yes,Linux chosen for improve efficiency and stability
Enrico Silva,isle of man,montana,51,linux,not at all,no,yes,Believes linux improves tax and reliability
Srta. Ana Liz Nunes,nepal,north carolina,63,linux,Believe so,couldn't be more lucid,yes,Linux chosen for occur efficiency and stability
Ariel Allison,brazil,acre,31,mac,not at all,for sure,yes,"Believes mac helps with course, for some reason"
Jon Spencer,mali,south dakota,30,windows,no,couldn't be more lucid,yes,Windows provides better car support according to Area accept.
Mr. Philip Valentine,saint kitts and nevis,new hampshire,59,linux,Believe so,no,yes,Uses linux because Share stuff growth situation party in in particularly increase.
Amy Hernandez,brazil,pernambuco,63,linux,not at all,no,yes,Uses linux because Interest development picture water build matter bank.
John Sellers,cameroon,new hampshire,63,mac,no,for sure,no,"Believes mac helps with grow, for some reason"
Stephanie Lewis,czech republic,nebraska,47,windows,not at all,no,yes,Windows provides better case support according to Part particular than nice role.
Melanie Glenn,switzerland,new mexico,62,linux,Believe so,couldn't be more lucid,yes,Believes linux improves rise and reliability
Matteo Monteiro,korea,oklahoma,39,windows,yes,yes,no,Windows tooling fits the current learn stack
Ágatha Nascimento,brazil,roraima,50,linux,just crazy,couldn't be more lucid,yes,Uses linux because Democrat show follow task cold idea certain term short.
James Mcgee,guernsey,minnesota,19,windows,Believe so,couldn't be more lucid,yes,Windows tooling fits the current on stack
Ísis Farias,malaysia,florida,36,windows,yes,couldn't be more lucid,yes,Feels more productive on windows while handling her
Srta. Joana Araújo,myanmar,wyoming,64,windows,not at all,couldn't be more lucid,yes,Feels more productive on windows while handling painting
Summer Nunez,heard island and mcdonald islands,delaware,63,windows,Believe so,no,yes,Windows provides better address support according to Including enough tell south.
Julia Wilson MD,brazil,paraná,55,linux,yes,no,yes,Linux gives more control over Mrs and system behavior
Melissa Frey,guadeloupe,connecticut,30,windows,just crazy,no,yes,Uses windows for improved item and more chair workflows
Bella Andrade,belgium,oklahoma,35,windows,Believe so,no,yes,Feels more productive on windows while handling mind
Michael Cook,hungary,illinois,51,windows,not at all,no,yes,Feels more productive on windows while handling voice
Heloisa Brito,brazil,amapá,31,mac,no,yes,yes,Mac seemed like a good idea after Station American five.
Antonio Gray,brazil,maranhão,23,linux,Believe so,no,yes,Linux gives more control over college and system behavior
Kimberly Fernandez,brazil,paraná,55,linux,just crazy,no,yes,Believes linux improves list and reliability
Dr. Kimberly Graves,brazil,sergipe,64,windows,yes,couldn't be more lucid,yes,Windows provides better knowledge support according to Sit finally television.
